Date,Open,High,Low,Close
10/20/21,64120,66923,63594,65971
10/19/21,61369,64322,61139,64120
10/18/21,59472,62626,59395,61445
10/17/21,61013,61408,59071,59472
10/16/21,62496,62526,60184,61024
10/15/21,57449,62719,56896,62496
10/14/21,56988,58488,56916,57491
10/13/21,55364,57479,54325,56988
10/12/21,57390,57631,54404,55364
10/11/21,55425,57767,54445,57390
10/10/21,54651,56370,54211,55425
10/09/21,53951,55410,53738,54651
10/08/21,54205,55981,53659,53951
10/07/21,54903,55588,53496,54205
10/06/21,51378,55399,50476,54903
10/05/21,49016,51757,48595,51378
10/04/21,48465,49491,46993,49016
10/03/21,48045,49158,47139,48552
10/02/21,48139,48441,47480,48045
10/01/21,43432,48122,43302,48110
09/30/21,41133,44110,40984,43432
09/29/21,41792,42538,40806,41114
09/28/21,42708,43364,41145,41792
09/27/21,43607,44318,42689,42696
09/26/21,42719,43695,40827,43607
09/25/21,43001,43162,41750,42719
09/24/21,44679,45076,40944,43001
09/23/21,43445,44932,43051,44679
09/22/21,40971,43988,39721,43445
09/21/21,43489,43904,40391,40971
09/20/21,47588,47660,42636,43489
09/19/21,48008,48359,47182,47588
09/18/21,47028,48797,46828,48008
09/17/21,47102,48167,46775,47028
09/16/21,47941,48497,47063,47102
09/15/21,46828,48436,46418,47948
09/14/21,45186,46926,44724,46828
09/13/21,45023,46697,43561,45144
09/12/21,45317,46198,44781,45023
09/11/21,45094,46000,44304,45333
09/10/21,46265,47041,44879,45094
09/09/21,46154,47384,45586,46268
09/08/21,46825,47357,44548,46154
09/07/21,51930,52918,43917,46777
09/06/21,51753,52142,51044,51930
09/05/21,50195,51652,49527,51652
09/04/21,50152,50543,49535,50195
09/03/21,49553,50999,48379,50184
09/02/21,48271,50333,48268,49556
09/01/21,47008,48953,46567,48279
08/31/21,48670,48679,46725,46996
08/30/21,48927,49394,47500,48670
08/29/21,48760,49605,47922,48897
08/28/21,48913,49306,48405,48760
08/27/21,47048,49076,46383,48946
08/26/21,48721,49372,46444,47048
08/25/21,48364,49147,47193,48748
08/24/21,49525,49852,47856,48364
08/23/21,48425,50478,48315,49509
08/22/21,49070,49466,48225,48425
08/21/21,48653,49799,48374,48988
08/20/21,46587,48993,46361,48653
08/19/21,44593,46831,44016,46568
08/18/21,45017,45965,44283,44593
08/17/21,46065,47140,44601,45017
08/16/21,46750,48047,45728,46065
08/15/21,46665,47349,45615,46750
08/14/21,47545,48103,46201,46665
08/13/21,44440,47775,43912,47545
08/12/21,46340,46391,43844,44440
08/11/21,45627,46752,45276,46340
08/10/21,45482,46608,44695,45627
08/09/21,43855,46431,42832,45482
08/08/21,43945,45276,43331,43855
08/07/21,42696,44557,42404,43945
08/06/21,40908,43314,39942,42673
08/05/21,39745,41367,37454,40908
08/04/21,38113,39851,37558,39706
08/03/21,38861,39773,37768,38113
08/02/21,41310,41313,38720,38857
08/01/21,41516,42551,40694,41310
